Age,Gender,Education Level,Job Title,experience,Salary,test_score,interview_score
32,Male,Bachelor's,Software Engineer,5,90000,98,64
28,Female,Master's,Data Analyst,3,65000,88,69
45,Male,PhD,Senior Manager,15,150000,74,69
36,Female,Bachelor's,Sales Associate,7,60000,67,97
52,Male,Master's,Director,20,200000,80,86
29,Male,Bachelor's,Marketing Analyst,2,55000,98,80
42,Female,Master's,Product Manager,12,120000,78,67
31,Male,Bachelor's,Sales Manager,4,80000,82,60
26,Female,Bachelor's,Marketing Coordinator,1,45000,70,87
38,Male,PhD,Senior Scientist,10,110000,70,98
29,Male,Master's,Software Developer,3,75000,83,73
48,Female,Bachelor's,HR Manager,18,140000,95,80
35,Male,Bachelor's,Financial Analyst,6,65000,99,89
40,Female,Master's,Project Manager,14,130000,83,80
27,Male,Bachelor's,Customer Service Rep,2,40000,62,68
44,Male,Bachelor's,Operations Manager,16,125000,81,76
33,Female,Master's,Marketing Manager,7,90000,61,64
39,Male,PhD,Senior Engineer,12,115000,83,90
25,Female,Bachelor's,Data Entry Clerk,0,35000,89,99
51,Male,Bachelor's,Sales Director,22,180000,97,97
34,Female,Master's,Business Analyst,5,80000,61,78
47,Male,Master's,VP of Operations,19,190000,80,95
30,Male,Bachelor's,IT Support,2,50000,92,92
36,Female,Bachelor's,Recruiter,9,60000,71,72
41,Male,Master's,Financial Manager,13,140000,81,73
28,Female,Bachelor's,Social Media Specialist,3,45000,84,92
37,Female,Master's,Software Manager,11,110000,86,88
24,Male,Bachelor's,Junior Developer,1,40000,87,95
43,Female,PhD,Senior Consultant,15,140000,75,69
33,Male,Master's,Product Designer,6,90000,74,90
50,Male,Bachelor's,CEO,25,250000,62,65
31,Female,Bachelor's,Accountant,4,55000,96,60
29,Male,Master's,Data Scientist,3,75000,66,66
39,Female,Bachelor's,Marketing Specialist,10,65000,80,86
46,Male,PhD,Senior Manager,20,170000,68,80
27,Male,Bachelor's,Technical Writer,2,45000,98,87
35,Female,Bachelor's,HR Generalist,7,60000,77,75
42,Male,Master's,Project Engineer,14,115000,63,82
26,Female,Bachelor's,Customer Success Rep,1,40000,84,79
49,Male,Bachelor's,Sales Executive,21,160000,73,97
34,Female,Master's,UX Designer,5,80000,68,84
48,Male,Master's,Operations Director,18,190000,85,87
30,Male,Bachelor's,Network Engineer,3,60000,61,64
36,Female,Bachelor's,Administrative Assistant,8,45000,79,80
41,Male,Master's,Strategy Consultant,13,130000,87,77
28,Female,Bachelor's,Copywriter,2,40000,66,65
32,Male,Bachelor's,Account Manager,5,75000,67,88
45,Female,Master's,Director of Marketing,16,180000,94,78
38,Male,PhD,Senior Scientist,11,120000,73,92
25,Male,Bachelor's,Help Desk Analyst,0,35000,76,60
51,Female,Bachelor's,Customer Service Manager,22,130000,95,62
33,Male,Master's,Business Intelligence Analyst,7,85000,99,80
40,Female,Bachelor's,Event Coordinator,12,60000,63,94
47,Male,Master's,VP of Finance,19,200000,61,100
29,Female,Bachelor's,Graphic Designer,3,50000,65,99
36,Male,Bachelor's,Sales Manager,9,95000,63,62
27,Female,Master's,UX Researcher,2,65000,88,84
43,Male,PhD,Senior Engineer,17,140000,77,97
30,Female,Bachelor's,Social Media Manager,4,55000,85,79
35,Male,Master's,Product Manager,7,105000,93,93
51,Female,Master's,Director of Operations,23,170000,69,80
29,Male,Bachelor's,Marketing Analyst,3,50000,95,82
40,Female,Bachelor's,HR Manager,12,80000,73,65
47,Male,PhD,Senior Data Scientist,21,180000,90,72
26,Male,Bachelor's,Junior Accountant,1,35000,74,82
38,Female,Master's,Digital Marketing Manager,10,90000,67,68
46,Male,Bachelor's,IT Manager,19,120000,73,76
31,Female,Bachelor's,Customer Service Representative,5,45000,82,61
34,Male,Master's,Business Development Manager,8,90000,99,78
49,Female,Master's,Senior Financial Analyst,18,150000,80,78
33,Male,Bachelor's,Web Developer,6,65000,75,66
39,Female,Bachelor's,Recruiter,11,70000,77,79
45,Male,PhD,Research Director,16,190000,83,68
28,Male,Bachelor's,Technical Support Specialist,2,40000,85,76
42,Female,Master's,Creative Director,14,120000,84,86
37,Male,Bachelor's,Project Manager,10,95000,100,61
50,Female,Bachelor's,Operations Manager,22,160000,88,95
32,Male,Master's,Senior Software Engineer,6,100000,74,78
48,Female,Master's,Human Resources Director,20,180000,60,76
30,Female,Bachelor's,Content Marketing Manager,3,55000,84,64
36,Male,Bachelor's,Technical Recruiter,8,70000,66,98
41,Female,Master's,Data Analyst,13,80000,68,77
25,Male,Bachelor's,Sales Representative,0,30000,83,66
52,Male,PhD,Chief Technology Officer,24,250000,60,76
29,Female,Bachelor's,Junior Designer,2,40000,67,98
34,Female,Master's,Financial Advisor,10,95000,83,95
27,Male,Bachelor's,Junior Account Manager,2,45000,70,99
40,Female,Bachelor's,HR Generalist,15,80000,76,63
46,Male,Master's,Senior Project Manager,21,135000,67,97
31,Female,Bachelor's,Marketing Coordinator,6,55000,94,84
36,Male,PhD,Principal Scientist,11,120000,94,64
29,Female,Bachelor's,Sales Associate,3,40000,92,89
43,Male,Bachelor's,Supply Chain Manager,18,105000,64,71
52,Female,Master's,Senior Marketing Manager,25,170000,98,63
33,Male,Bachelor's,Business Analyst,7,75000,100,83
39,Female,Bachelor's,Training Specialist,12,65000,87,88
47,Male,PhD,Research Scientist,22,160000,66,68
26,Male,Bachelor's,Junior Software Developer,1,35000,68,63
38,Female,Master's,Public Relations Manager,10,90000,67,83
45,Male,Bachelor's,Operations Analyst,20,110000,71,73
31,Female,Bachelor's,Event Coordinator,5,45000,93,64
35,Male,Master's,Product Marketing Manager,8,95000,92,77
49,Female,Master's,Senior HR Manager,19,150000,82,78
33,Male,Bachelor's,Junior Web Developer,5,50000,83,71
39,Female,Master's,Senior Project Coordinator,13,80000,96,77
44,Male,PhD,Chief Data Officer,16,220000,94,76
30,Female,Bachelor's,Digital Content Producer,3,50000,99,89
36,Male,Bachelor's,IT Support Specialist,7,60000,81,83
41,Female,Master's,Senior Marketing Analyst,14,100000,86,70
28,Male,Bachelor's,Customer Success Manager,2,40000,94,94
42,Female,Master's,Senior Graphic Designer,15,110000,60,82
37,Male,Bachelor's,Software Project Manager,9,95000,94,76
50,Female,Bachelor's,Supply Chain Analyst,22,130000,96,60
32,Male,Master's,Senior Business Analyst,6,90000,73,74
23,Female,Bachelor's,Junior Marketing Analyst,0.5,35000,62,91
31,Male,Master's,Senior Financial Analyst,6,95000,60,68
40,Female,Bachelor's,Office Manager,15,65000,64,74
48,Male,PhD,Principal Engineer,20,170000,85,87
29,Female,Bachelor's,Junior HR Generalist,3,45000,73,83
35,Male,Master's,Senior Product Manager,10,120000,98,94
42,Female,Bachelor's,Sales Manager,17,100000,86,81
53,Male,Master's,Director of Marketing,25,180000,68,86
33,Female,Bachelor's,Junior Operations Analyst,5,50000,74,78
38,Male,Bachelor's,Customer Service Manager,11,80000,74,71
44,Female,PhD,Senior Scientist,16,140000,85,79
26,Male,Bachelor's,Junior Accountant,2,40000,72,60
37,Female,Master's,Senior HR Generalist,9,95000,91,80
45,Male,Bachelor's,Sales Operations Manager,18,110000,98,60
32,Female,Bachelor's,Marketing Coordinator,4,50000,91,69
34,Male,Master's,Senior Software Developer,8,105000,63,91
50,Female,Master's,Director of Operations,21,160000,89,98
